plot_id,khasra_number,khata_number,village_name,village_name_hi,owner_name_en,owner_name_hi,father_name_en,father_name_hi,land_type,land_type_hi,computed_area_sqm,recorded_area_sqm,area_difference_sqm,area_text,has_discrepancy,discrepancy_severity,discrepancy_percentage,record_status,irrigation_type_en,current_crop_en,soil_type_en,rate_per_sqm,estimated_value_inr,source_document,survey_year,centroid_lat,centroid_lon
172035/760/1,760,281,Gordhanpura,गोर्धनपुरा,Mahesh Tiwari,महेश तिवारी,Sohan Rajput,सोहन राजपूत,residential,आवासीय,20028.6,19707.23,-321.37,7 बीघा 17 बिस्वा,False,,0,verified,Well,,Black,18947,373392839.31,खतौनी,2022,26.04645,74.711377
172035/38/2,38,449,Gordhanpura,गोर्धनपुरा,Parvati Sharma,पार्वती शर्मा,Bhagwan Patel,भगवान पटेल,agricultural,कृषि भूमि,27227.6,27139.17,-88.43,10 बीघा 17 बिस्वा,False,,0,verified,Tube Well,Maize,Loamy,1665,45186722.08,बी-1,2022,26.046984,74.714765
172035/589/3,589,15,Gordhanpura,गोर्धनपुरा,Vinod Rai,विनोद राय,Hari Gurjar,हरि गुर्जर,residential,आवासीय,9373.68,9279.94,-93.74,3 बीघा 14 बिस्वा,False,,0,verified,None,,Black,7905,73357917.81,खसरा,2017,26.046299,74.718497
172035/738/4,738,477,Gordhanpura,गोर्धनपुरा,Saraswati Rajput,सरस्वती राजपूत,Mohan Pandey,मोहन पांडेय,agricultural,कृषि भूमि,7611.96,7754.51,142.55,3 बीघा 2 बिस्वा,False,,0,verified,Well,Rice,Clay,1416,10980390.71,खसरा,2024,26.047308,74.722099
172035/387/5,387,175,Gordhanpura,गोर्धनपुरा,Mahesh Jat,महेश जाट,Ram Rai,राम राय,agricultural,कृषि भूमि,85250.03,84385.48,-864.55,33 बीघा 15 बिस्वा,False,,0,verified,Tube Well,Millet,Sandy,1063,89701764.91,खसरा,2018,26.047364,74.727776
172035/312/6,312,12,Gordhanpura,गोर्धनपुरा,Lakshmi Dubey,लक्ष्मी दुबे,Sita Sharma,सीता शर्मा,residential,आवासीय,10483.68,10451.76,-31.92,4 बीघा 3 बिस्वा,False,,0,verified,Tube Well,,Clay,16386,171262473.44,खतौनी,2019,26.047229,74.731515
172035/779/7,779,406,Gordhanpura,गोर्धनपुरा,Ramesh Singh,रमेश सिंह,Vinod Gurjar,विनोद गुर्जर,residential,आवासीय,19561.41,19829.91,268.5,7 बीघा 18 बिस्वा,False,,0,verified,Tube Well,,Clay,14042,278451649.82,खतौनी,2023,26.04633,74.734327
172035/541/8,541,479,Gordhanpura,गोर्धनपुरा,Mohan Gurjar,मोहन गुर्जर,Brajesh Tripathi,ब्रजेश त्रिपाठी,barren,बंजर,15544.3,10480.22,-5064.08,4 बीघा 3 बिस्वा,True,high,-32.6,needs_review,None,,Red,172,1802598.4,पट्टा,2022,26.046229,74.738485
172035/620/9,620,151,Gordhanpura,गोर्धनपुरा,Dinesh Gupta,दिनेश गुप्ता,Hari Jat,हरि जाट,barren,बंजर,13607.95,17435.3,3827.35,6 बीघा 19 बिस्वा,True,high,28.1,needs_review,Pond,,Sandy,414,7218213.94,पट्टा,2020,26.046452,74.743718
172035/863/10,863,206,Gordhanpura,गोर्धनपुरा,Jagdish Rai,जगदीश राय,Brajesh Singh,ब्रजेश सिंह,agricultural,कृषि भूमि,18616.68,25573.09,6956.41,10 बीघा 4 बिस्वा,True,high,37.4,needs_review,Canal,Moong,Red,699,17875588.96,बी-1,2022,26.046063,74.74662
172035/501/11,501,18,Gordhanpura,गोर्धनपुरा,Geeta Singh,गीता सिंह,Mahesh Jat,महेश जाट,agricultural,कृषि भूमि,90539.1,92259.77,1720.67,36 बीघा 18 बिस्वा,False,,0,verified,Tube Well,Mustard,Clay,675,62275346.26,खसरा,2020,26.046626,74.750627
172035/64/12,64,476,Gordhanpura,गोर्धनपुरा,Geeta Tiwari,गीता तिवारी,Jagdish Verma,जगदीश वर्मा,agricultural,कृषि भूमि,14658.35,17442.82,2784.47,6 बीघा 19 बिस्वा,True,medium,19.0,needs_review,None,Gram,Red,825,14390330.41,पट्टा,2024,26.049854,74.710419
172035/219/13,219,264,Gordhanpura,गोर्धनपुरा,Brajesh Kumawat,ब्रजेश कुमावत,Dinesh Tripathi,दिनेश त्रिपाठी,agricultural,कृषि भूमि,12409.72,12354.05,-55.67,4 बीघा 18 बिस्वा,False,,0,verified,Tube Well,Mustard,Red,1701,21014230.62,पट्टा,2021,26.049715,74.714432
172035/472/14,472,318,Gordhanpura,गोर्धनपुरा,Krishna Chauhan,कृष्ण चौहान,Lakshmi Pandey,लक्ष्मी पांडेय,agricultural,कृषि भूमि,22346.9,22166.75,-180.15,8 बीघा 17 बिस्वा,False,,0,verified,None,Gram,Clay,1849,40986325.82,बी-1,2019,26.049934,74.718305
172035/105/15,105,450,Gordhanpura,गोर्धनपुरा,Krishna Tiwari,कृष्ण तिवारी,Radha Verma,राधा वर्मा,residential,आवासीय,11932.11,14225.86,2293.75,5 बीघा 13 बिस्वा,True,medium,19.2,needs_review,Tube Well,,Red,6986,99381834.93,जमाबंदी,2022,26.051154,74.7224
172035/53/16,53,454,Gordhanpura,गोर्धनपुरा,Narayan Singh,नारायण सिंह,Gopal Sharma,गोपाल शर्मा,agricultural,कृषि भूमि,78645.29,109825.57,31180.28,43 बीघा 18 बिस्वा,True,high,39.6,needs_review,Canal,Wheat,Sandy,1845,202628183.77,बी-1,2022,26.050946,74.727335
